Id,CompanyName,Address,SSN,LegalType
B81,Dick Wilson Financial,"800 Rural Route, Des Moines, IA 50309",999888777,
B82,Газпром нефть,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",,
B83,北京首都集团,"450 N Oak Ave, Chicago, IL 60601",111222333,LLP
B84,شركة الرحمة للتجارة,"750 Broad St, Newark, NJ 07102",654987321,NGO
B85,三菱UFJフィナンシャル・グループ,"800 Rural Route, Des Moines, IA 50309",999888777,
B86,Croix-Rouge Fondation,"500 Wall Street, New York, NY 10005",,
B87,Schweizerische Bundesbahnen,"450 N Oak Ave, Chicago, IL 60601",111222333,LLP
B88,中国银行,"750 Broad St, Newark, NJ 07102",654987321,FOCO
B89,Münchener Rückversicherungs-Gesellschaft,"800 Rural Route, Des Moines, IA 50309",999888777,
B90,Databricks Inc,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",,
B91,Tesla Motors,"120 Federal St, Boston, MA 02110",111222333,LLP
B92,Amazon.com Inc,"410 Terry Ave N, Seattle, WA 98109",654987321,INVSTBNK
B93,Google LLC,"800 Rural Route, Des Moines, IA 50309",999888777,
