Id,CompanyName,Address,SSN,LegalType
A40,Horizon Data Systems Services,"750 Broad St, Newark, NJ 07102",,FOINS
A41,Meridian Advisory Partners Global,"450 N Oak Ave, Chicago, IL 60601",321654987,PLAN
A42,Vanguard Management Group,"500 Wall Street, New York, NY 10005",456789123,HEDGE
A43,Apex Software Creator Services,"120 Federal St, Boston, MA 02110",,FOCO
A44,Global Search Solutions,"750 Broad St, Newark, NJ 07102",987654321,NGO
A45,Horizon Consulting Partners,"500 Innovation Blvd, Austin, TX 78701",321654987,PLAN
A46,Rapid Runner Freight Systems,"500 Wall Street, New York, NY 10005",456789123,CORP
A47,Better Building Solutions,"120 Federal St, Boston, MA 02110",,FOCO
A48,Apex Flying Express Logistics,"750 Broad St, Newark, NJ 07102",987654321,NGO
A49,Horizon Children Health Services,"500 Innovation Blvd, Austin, TX 78701",321654987,PLAN
A50,even Hills Asset Management,"100 Main St, Suite 7, New York, NY 10001",456789123,HEDGE
A51,First National Capital Corp,"500 Wall Street, Floor 1st, New York, NY 10005",,INVSTBNK
A52,Apex 21st Century Media,"750 Broad St, Newark, NJ 07102",987654321,NGO
A53,Three Rivers Logistics Center,"450 North Oak Avenue, Chicago, IL 60601",321654987,MUNI
A54,Henry III Logistics Group,"500 Wall Street, Floor 3, New York, NY 10005",456789123,CORP
A55,Apex Century IV Capital,"120 Federal St, Suite 400, Boston, MA 02110",,HEDGE
A56,World War II Memorial Foundation,"750 Broad St, Newark, NJ 07102",987654321,FNDN
A57,Charles IX Energy Solutions,"500 Innovation Blvd, Austin, TX 78701",321654987,PLAN
A58,Wells Fargo Finances,"420 Montgomery Street, San Francisco, CA 94104",456789123,INVSTBNK
A59,JPMorgan Chase Wealth Management,"270 Park Avenue, New York, NY 10017",,HEDGE
A60,Bank of America Merrill Lynch Services,"100 North Tryon Street, Charlotte, NC 28255",987654321,CORP
A61,Goldman Sachs Asset Advisory,"200 West Street, New York, NY 10282",321654987,PLAN
A62,Steven Miller Advisory,"500 Wall Street, New York, NY 10005",456789123,INDIV
A63,Catherine Smith Holdings,"120 Federal St, Boston, MA 02110",,FOCO
A64,Bryan Johns Capital,"750 Broad St, Newark, NJ 07102",987654321,HEDGE
A65,Sean Wright Financial,"500 Innovation Blvd, Austin, TX 78701",321654987,PLAN
A66,Premier Automobile Logistics,"500 Wall Street, New York, NY 10005",456789123,CORP
A67,Apex Lawyer Services,"120 Federal St, Boston, MA 02110",,LLP
A68,Global Physician Group,"750 Broad St, Newark, NJ 07102",987654321,INDIV
A69,Horizon Commerce Bank,"500 Innovation Blvd, Austin, TX 78701",321654987,INVSTBNK
A70,Vanguard Legal Entity Solutions,"500 Wall Street, New York, NY 10005",456789123,CORP
A71,Apex Employer Identification Number Registry,"120 Federal St, Boston, MA 02110",,FOCO
A72,Global Tax Identification Number Advisory,"750 Broad St, Newark, NJ 07102",987654321,INVSTBNK
A73,Horizon Trade Name Holdings,"500 Innovation Blvd, Austin, TX 78701",321654987,HEDGE
A74,Google LLC,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",987654321,CORP
A75,Facebook Inc,"1 Hacker Way, Menlo Park, CA 94025",456789123,CORP
A76,Twitter Inc,"1355 Market St, San Francisco, CA 94103",,FOCO
A77,Square Inc,"1455 Market St, San Francisco, CA 94103",321654987,PLAN
A78,Robert Miller Services,"500 Wall Street, New York, NY 10005",456789123,INDIV
A79,William Johnson Advisory,"120 Federal St, Boston, MA 02110",,INDIV
A80,Elizabeth Davis Consulting,"750 Broad St, Newark, NJ 07102",987654321,INDIV
A81,Richard Wilson Financial,"500 Innovation Blvd, Austin, TX 78701",321654987,INDIV
A82,Gazprom Neft PJSC,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",456789123,FOCO
A83,Beijing Capital Holdings,"120 Federal St, Boston, MA 02110",,CORP
A84,Al Rahma Trading Company,"750 Broad St, Newark, NJ 07102",987654321,FOINS
A85,Mitsubishi UFJ Financial Group,"500 Innovation Blvd, Austin, TX 78701",321654987,INVSTBNK
A86,Red Cross Foundation,"500 Wall Street, New York, NY 10005",456789123,NGO
A87,Swiss Federal Railways,"120 Federal St, Boston, MA 02110",,MUNI
A88,Bank of China,"750 Broad St, Newark, NJ 07102",987654321,INVSTBNK
A89,Munich Reinsurance Company,"500 Innovation Blvd, Austin, TX 78701",321654987,FOINS
A90,Cloud Database Provider,,987654321,CORP
A91,Electric Vehicle Manufacturer,,456789123,CORP
A92,E-Commerce Marketplace Giant,,,FOCO
A93,Search Engine Operator,,321654987,PLAN
